Articles reviewed for each chapter are included here. ,,,
"Please note the following: 1) The total number of articles reviewed for the book exceeds those below; these are articles that were relevant for specific chapter queries. 2) Article links and titles often change after initial publication, especially for ""live articles"" or ""updates"". As such, you may find that searching for the article title along with the date and outlet will yield the best results. 3) Titles have been shifted to lower case and ""."" (periods) have been removed. 4) Some articles were reviewed or used in multiple chapters.  ",,,
,,,
"Full, partial, or modified article title when it was accessed",Date originally published or modified,Online news outlet,Chapter where article was reviewed or referenced
"ofra bikel, filmmaker with a focus on criminal justice, dies at 94",8/28/2024,New York Times,1
"ofra bikel, whose films freed the wrongly convicted, dies at 94",8/27/2024,Washington Post,1
"on israel, progressive jews feel abandoned by their left-wing allies",10/20/2023,New York Times,1
"on social media, people face pressure to speak out about the war",11/2/2023,New York Times,1
one family’s message from gaza: stay safe in the us,10/17/2023,Washington Post,1
pakistan carries out a mass expulsion,11/6/2023,Washington Post,1
"palestinian americans face fear, violence amid israel’s war in gaza",11/18/2023,Washington Post,1
palestinian americans in washington on edge watching gaza news,10/14/2023,Washington Post,1
"palestinian citizens of israel are wary, weary and afraid",10/14/2023,New York Times,1
palestinians recount deadly abuse in israeli prisons: ‘it is guantánamo’,7/29/2024,Washington Post,1
past lies about war in the middle east are getting in the way of the truth today,10/31/2023,New York Times,1
"peter reddaway, who brought tales of soviet dissent to the west, dies at 84",8/14/2024,Washington Post,1
"planes have already taken off': us sends israel air defense, munitions after hamas attack",10/9/2023,Politico,1
playbook pm: economic climate blows harris’ way,10/4/2024,Politico,1
playbook pm: will mccarthy play speaker spoiler?,10/10/2023,Politico,1
playbook: senate staffer out after sex tape scandal,12/16/2023,Politico,1
playbook: so much for the 'new' trump,8/1/2024,Politico,1
playbook: ukraine makes a final plea,12/5/2023,Politico,1
playbook: why you shouldn’t write scalise off just yet,10/12/2023,Politico,1
playbook: will dems keep standing with israel?,10/10/2023,Politico,1
police investigate antisemitic graffiti found at bethesda school,8/12/2024,Washington Post,1
politicians called them ‘traitors’ now they’re manning israel’s home front,10/14/2023,Washington Post,1
politico q & a: rep ritchie torres is israel’s loudest house supporter,10/27/2023,Politico,1
primary battles brew over progressive democrats’ stances on israel,10/29/2023,New York Times,1
pro-palestinian protesters vow massive showing at democratic convention,8/11/2024,Washington Post,1
protesters near the un push for broader condemnation of sexual violence on oct 7,12/4/2023,New York Times,1
protests over israel-hamas war sweep the globe as nations ramp up security,10/11/2023,CNN,1
randy mastro argues his case,7/31/2024,Politico,1
reaction to hamas attack leaves some jews in hollywood feeling unmoored,10/29/2023,New York Times,1
